               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032652,            0.021477,           0.0023959,             0.93787,             0.83844,             0.88665,             0.55359,            0.031904,            0.013572,           0.0015447,            0.070128,           0.0033191,           0.0033191
                   1,            0.032236,            0.021049,           0.0022593,             0.93919,             0.83543,             0.88522,             0.55333,            0.032567,            0.013594,           0.0015748,            0.038811,           0.0053352,           0.0053352
                   2,            0.030934,            0.020373,           0.0021803,             0.94002,             0.82767,             0.88759,             0.55845,            0.031587,            0.013647,           0.0015939,           0.0061738,           0.0060314,           0.0060314
                   3,            0.031611,            0.021084,           0.0023263,             0.94745,             0.83516,              0.8876,             0.56085,            0.031218,            0.013597,           0.0015422,             0.00406,             0.00406,             0.00406
                   4,            0.031272,            0.021124,           0.0022399,             0.94316,             0.83621,             0.88927,             0.56568,            0.031294,            0.013546,           0.0015345,             0.00406,             0.00406,             0.00406
